,team,ball,over,runs,text,sentiment
31,AUS,6,40,4,"drilled! Overpitched on the off and middle stump line, driven down the ground.",Neutral
32,AUS,4,44,6,Slap-slog! Ponting now has the World record for the maximum sixes in World Cup. 24th six. He went down on his knee and slapped it over deep midwicket,Neutral
33,AUS,6,47,4,Boom! Overpitched this time and Watson goes straight over the bowler who ducks under that missile.,Positive
34,AUS,5,47,4,Whack! Watson frees his arms. Takes out the front foot outside the line and heaves a length-delivery past midwicket,Positive
35,AUS,1,48,4,"Suddenly, its raining fours here. Another one that crashes into deep midwicket region. Slapped across the line.",Neutral
36,AUS,3,48,4,Wallop! Overpitched outside off and Watson goes over extra cover.,Neutral
37,AUS,5,48,6,Whoa! This one disappears over long on. Overpitched again and Hogg gets under that one nicely.,Positive
38,AUS,6,49,4,Australia end up with 334. This one slides down the legside and Hogg swings it to fine-leg boundary.  Hogg ends up up with a blistering 15-ball 40!,Neutral
39,AUS,4,49,6,"smash! Another one, in the slot, just outside off and Hogg drills it over long-off. Murder under cloudy skies",Negative
40,AUS,3,49,4,Violence! Banged in short and Hogg pulls it over midwicket.,Negative
41,AUS,1,49,6,Hogg goes downtown. Right in the slot and Hogg creams it over long off.,Neutral
42,SCOT,1,1,4,"Majid Haq welcomes Tait with a slash past point. Overpitched and well outside off, Haq frees his arms",Positive
43,SCOT,1,5,4,Whack! Haq creams it through cover. Overpitched outside off and Haq thrusts forward and drives it to the cover boundary. Super strike,Positive
44,SCOT,6,13,4,"Punched away! Short of length, just outside off and Brown moved into the line and hit it on the up through the cover region. Super shot that.",Positive
45,SCOT,3,16,4,Caressed away. Overpitched outside off and Dougie Brown leant into his cover drive,Neutral
46,SCOT,5,18,4,Another one drilled through the off side. Tait is bowling half-volleys here and is paying for them.,Neutral
47,SCOT,3,18,4,"Creamed away! Overpitched outside off, you can have pace but you got to hit the right areas, else you will be bleeding. Driven through cover",Neutral
48,SCOT,1,19,4,"Wow! Dougie Brown lets rip. Shot of the day. Length-delivery, just outside off and Brown thrusts his left foot out and square-drives past point. Screaming shot.",Positive
49,SCOT,3,23,4,"Crack! Gives the charge, Watson responds by banging it in and Smith backs away to cut it over backward point.",Negative
50,SCOT,5,26,4,edge but no slip in place. Tossed up outside off and Smith drives only to get an edge.,Negative
51,SCOT,6,29,4,"long-hop on the leg and middle, pulled in front of square. Easy.",Positive
52,SCOT,4,32,4,Speared down leg again. Thank heavens Tait isn't a fighter pilot. His sense of direction is so awry. Batsman simply has to kick it away to the fine leg fence. Looked more like byes though,Positive
53,SCOT,2,34,4,Or. As Colin Smith prefers back away and clatter it past gully for a sizzling boundary,Neutral
54,SCOT,3,36,4,"where did that come from? Smith backs away and crashes a fullish delivery on the middle stump, past backward point!",Negative
